@Begin
@Name of CHI:          Yiu Chun-li
*CHI:   ÀY¥ı &e3 ªi°Ê¤G ©O &e6 ¤S ¦A ‘Á ¹L &a3 ªi°Ê¤G ÀY¥ı.
%mor:   advs ex nnpp sfp ex advf advf dir prt sfp nnpp advs.
*INV:   ªi°Ê¤G &a4 ´N«Y ?
%mor:   nnpp sfp advf.
*CHI:   ©O «× ­ø «Y ªi°Ê¤G ‘Á &ga3, «Y +/.
%mor:   det cl neg vf nnpp sfp sfp vf.
*SIS:   µ¥ °} ¤S ¦³ ºµ¿ß.
%mor:   vt cl advf vf nn.
*INV:   ¤S ­n ¥´ ¤@ À\ &la3.
%mor:   advf vt vt q cl sfp.
*SIS:   &aau1.
%mor:   ex.
*INV:   ¦Ó®a Ãä ­Ó ¦P Ãä ­Ó ¥´ ºò ®A ¨s³º ?
%mor:   advs wh cl prep wh cl vt asp sfp advs.
*SIS:   &a1, ¦³ ÉN ·d ¿ù &a3 ?
%mor:   ex vf neg vt adj sfp.
*CHI:   ¼Ã ­Ó<¬õ ¦â>, [>] +/.
%mor:   vt cl adj nn.
*SIS:   <&dza2 Ï>, ¥´ Ê\ &a1 [<].
%mor:   adj nn vt nnpr sfp.
*INV:   «u–ï, ¶^ ¿Ë &la3.
%mor:   ex verg prt sfp.
*INV:   ¦n µh &ga3 «Y «} &a3 ¶^ ¿Ë ?
%mor:   advi adj sfp vf neg sfp verg prt.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   §Ö ø, ¦nÏ, ¦nÏ.
%mor:   adj com ex ex.
*INV:   ¦¨ ¤é ³£ Ëİ¼Ë &daad3, ¥ò ­ø ¦º &ge2 ÂI¸Ñ ?
%mor:   q cl advf advs verg advf neg verg sfp wh.
*CHI:   0.
*SIS:   ¦³ ÉN ·d ¿ù &a3 ?
%mor:   vf neg vt adj sfp.
*INV:   ²ï²ï §A «Y Ãä ­Ó &a3 ?
%mor:   nnpp nnpr vf wh cl sfp.
*SIS:   §Ú «Y õ ­Ó &lo1.
%mor:   nnpr vf det cl sfp.
*INV:   ¦º ÷ õ ­Ó &a4 ?
%mor:   verg asp det cl sfp.
*SIS:   ­ø «Y &a3, Ä¹ ÷ õ ­Ó &a3.
%mor:   neg vf sfp vi asp det cl sfp.
*INV:   Ä¹ ÷ õ ­Ó.
%mor:   vi asp det cl.
*SIS:   «Y &a3.
%mor:   vf sfp.
*SIS:   «u–ï.
%mor:   ex.
*INV:   ¤S ­n ¦A ¥´ ¹L.
%mor:   advf vt advf vt prt.
*SIS:   &ou2, ¥i¥H ¥Î, ¦nÏ.
%mor:   ex aux vt ex.
%com:   The child is pressing the button although her part is already over.
*INV:   §A ³£ ÉN ±o ª±, §A ¼Ã ‘Á °µ «§ ®A ?
%mor:   nnpr advf neg ctc vt nnpr vt dir vt wh sfp.
*INV:   §A Â\ §C &la1.
%mor:   nnpr vd dir sfp.
%com:   The child is still pressing the button.
*INV:   ³£ ­ø «Y §A ­§ ºò, «Y «} &a3 ?
%mor:   advf neg vf nnpr vi asp vf neg sfp.
*CHI:   ­ø «Y &a3, ¼Ã ¬õ ¦â ±o &lo1.
%mor:   neg vf sfp vt adj nn ctc sfp.
*SIS:   «Y &a3, ¼Ã ¬õ ¦â.
%mor:   vf sfp vt adj nn.
*INV:   Ëİ ¶À ¦â ©O ?
%mor:   advs adj nn sfp.
*CHI:   ¶À ¦â ³£ ±o.
%mor:   adj nn advf ctc.
*INV:   <©O ­Ó «Y> [>] +/.
%mor:   det cl vf.
*SIS:   <¶À ¦â> ´N«Y ½ğ ¸} &ge3 [<].
%mor:   adj nn advf vt nn sfp.
*INV:   ¬õ ¦â ©O ?
%mor:   adj nn sfp.
*INV:   ¥X ¤â &lu3 &wo3.
%mor:   dir nn sfp sfp.
*INV:   Ëİ Ãä ¤@ ­Ó «Y ¥´ Ãö¤æ &a3 ?
%mor:   advs wh q cl vf vt nn sfp.
*CHI:   «Y ©O ­Ó &a3.
%mor:   vf det cl sfp.
*INV:   ©O ­Ó &a4 ?
%mor:   det cl sfp.
*INV:   ÂÅ ¦â ©O ­Ó &a4 ?
%mor:   adj nn det cl sfp.
*CHI:   «Y, &a3.
%mor:   vf sfp.
*INV:   Ëİ ºñ ¦â ©O, °µ «§ ?
%mor:   advs adj nn sfp vt wh.
*INV:   ºñ ¦â °µ «§ &a3 ?
%mor:   adj nn vt wh sfp.
*CHI:   ºñ ¦â # ´N ¥i¥H ¼Ã.
%mor:   adj nn advf aux vt.
*CHI:   &m1.
%mor:   ex.
*INV:   &u2 -.
%mor:   ex.
%com:   pause.
*INV:   ¦º ÷.
%mor:   verg asp.
*SIS:   ÅÜ ºµ¿ß &la3.
%mor:   vt nn sfp.
*INV:   ¤S ÅÜ ºµ¿ß - ?
%mor:   advf vt nn.
*SIS:   <ÅÜ ®I &a3> [>].
%mor:   vt prt sfp.
*INV:   <©O ­Ó> ­ø ÅÜ ºµ¿ß &ga3, «Y «} &a3 [<] ?
%mor:   det cl neg vt nn sfp vf neg sfp.
*SIS:   «Y &a3.
%mor:   vf sfp.
*CHI:   ©O ­Ó «Y &miu1&miu1 ‘Á &ga3.
%mor:   det cl vf nn sfp sfp.
*INV:   &miu1&miu1 &a4 ?
%mor:   nn sfp.
*INV:   Ê\ ¥s &miu1&miu1.
%mor:   nnpr vt nn.
*CHI:   «Y &a3.
%mor:   vf sfp.
*BRO:   xxx, ¯u «Y ®t.
%mor:   advi vf adj.
*CHI:   ­ø ·| ¶^ ¸¨ µó &a3.
%mor:   neg aux verg dir nn sfp.
*SIS:   §Ú ¦³, §Ú ¥Î õ ­Ó &a3.
%mor:   nnpr vf nnpr vt det cl sfp.
*INV:   §Ö ø.
%mor:   adj com.
*SIS:   §Ú ¥Î ÀY¥ı ¬z§Q õ ¥Î õ ­Ó &a3.
%mor:   nnpr vt advs nnpp det vt det cl sfp.
*CHI:   <ÀY¥ı ªi> &e6 ÀY¥ı ªi°Ê¤G ©O &e6 ¦³ &li4&li1 # <ªi°Ê¤G> &ga3 [>].
%mor:   advs nnpp ex advs nnpp sfp ex vf nnpp nnpp sfp.
*SIS:   <¦³ &ga3> [<].
%mor:   vf sfp.
*INV:   ¦³ «§ ?
%mor:   vf wh.
*SIS:   «Y &o3 !
%mor:   vf ex.
*INV:   Ëİ µR§Q &a4 ?
%mor:   advi adj sfp.
*CHI:   ÉN ©j©j &ga3 ªi°Ê¤G.
%mor:   neg nn sfp nnpp.
*INV:   «Y &ga4 ?
%mor:   vf sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*SIS:   <Á¿ Ï &la1> [>].
%mor:   vt nn sfp.
*CHI:   <§Ú ÀY> [<] +/.
%mor:   nnpr nn.
%com:   pause.
*INV:   ¤@ °_ ¨­ ´N ª± ©O ­Ó &la4 ?
%mor:   q vi nn advf vt det cl sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   ª± ÷ ´X ­@ &a3 Ëİ¼Ë ?
%mor:   vt asp wh adj sfp advs.
*INV:   ª¾ ­ø ª¾ &a3 ?
%mor:   vt neg vt sfp.
*CHI:   ­ø «Y &aak3.
%mor:   neg vf sfp.
*INV:   &u3: ¿é ÷.
%mor:   ex vi asp.
*CHI:   ¦nÏ -:.
%mor:   ex.
*SIS:   §Ú Ä¹ &a3, ÉA §A Ä¹ &a3.
%mor:   nnpr vi sfp wh nnpr vi sfp.
*CHI:   ³£ ­ø «Y §A Ä¹ &ge2, §Ú Ä¹ &a3.
%mor:   advf neg vf nnpr vi sfp nnpr vi sfp.
*SIS:   §Ú Ä¹ &a3.
%mor:   nnpr vi sfp.
*CHI:   §Ú Ä¹ &a3.
%mor:   nnpr vi sfp.
*SIS:   §Ú Ä¹ &a3.
%mor:   nnpr vi sfp.
*INV:   ¦A Ú» ¹L «} ª¾ &lo1, §Ö ø.
%mor:   advf vt prt neg vt sfp adj com.
*INV:   ÂI¸Ñ ¥´ ·¥ Ê\ ³£ ­ø ¶^ ¸¨ µó ï ©O &he2 ?
%mor:   wh vt prt nnpr advf neg verg dir nn sfp sfp ex.
*SIS:   ©O ­Ó ­ø ·| ¶^ ¸¨ µó &a3, <xxx> [>].
%mor:   det cl neg aux verg dir nn sfp.
*INV:   <¦n ¦MÀI> &gu3 &wo3, §A Ú» Ê\’] Ëİ °ª ¥´ °_, À³¸Ó ¶^ ¸¨ µó ¦Ü «Y &ga3 [<].
%mor:   advi adj sfp sfp nnpr vt nnpr advi adj vt prt aux verg dir nnloc advf vf sfp.
*CHI:   ­ø ·|<¶^ ¸¨> [>] +/.
%mor:   neg aux verg dir.
*SIS:   <¤p¤ß> &a1 &ma3, ¤p¤ß «} ­ø ·| ¶^ &lo1 [<].
%mor:   adj sfp sfp adj neg neg aux verg sfp.
*INV:   ¦ı«Y Ëİ¼Ë ¥´ ªk &wo3, Ú» ¤S ­n ¸õ °_ Ëİ Ô ¸¨ ¦a¤U, §A Ú» úï.
%mor:   advs advs vt prt sfp vt advf vt vi prt advs vi dir nnloc nnpr vt prt.
*INV:   ª± ¦h °} ¥ı.
%mor:   vt adj cl advf.
*INV:   &u6, ¤S ¿é &lu3.
%mor:   ex advf vi sfp.
*CHI:   §A Ú» ©O ­Ó &wu6&fa1 &e3 ¿é ÷ &la3.
%mor:   nnpr vt det cl nn ex vi asp sfp.
*INV:   úï, ÂI¼Ë ¿é &a3 ?
%mor:   ex wh vi sfp.
*SIS:   ¦nÏ.
%mor:   ex.
*INV:   ¿é &lu3.
%mor:   vi sfp.
*CHI:   ¦nÏ.
%mor:   ex.
*SIS:   §Ú Ä¹ &a3.
%mor:   nnpr vi sfp.
*BRO:   ­ø ¦n ª± &la3, ¦¬ Ï &la3.
%mor:   neg adj vt sfp vt nn sfp.
*SIS:   &e3, ­ø ¨î, §Ú ­n ª± &a3.
%mor:   ex neg vi nnpr vt vt sfp.
*BRO:   ¦¬ Ï &la1.
%mor:   vt nn sfp.
*SIS:   ­ø ¨î.
%mor:   neg vi.
*BRO:   ¦¬ Ï &la1, ¦¬ Ï &la1.
%mor:   vt nn sfp vt nn sfp.
*SIS:   xxx ª± &a3 ?
%mor:   vt sfp.
*BRO:   ÉN ±o ª±, ­n §Ú ¸û ï.
%mor:   neg ctc vt vt nnpr vt sfp.
*SIS:   &i2 -.
%mor:   ex.
*INV:   "Easy", ³Ì §À õ ¦æ «Y &e1&si4.
%mor:   adj advi adj det cl vf nn.
*CHI:   Õi ¨ì ­Ó ÀY ©O «× &a3.
%mor:   vt ctc cl nn det cl sfp.
*INV:   ÀY ©O «× °µ ÉAÏ &a3 ?
%mor:   nn det cl vt wh sfp.
*CHI:   õ ­Ó Õi ÀY &a3.
%mor:   det cl vt nn sfp.
*INV:   õ ­Ó Õi ÀY ï «§ ?
%mor:   det cl vt nn sfp sfp.
*CHI:   «Y &ja3.
%mor:   vf sfp.
*INV:   &m5.
%mor:   ex.
*BRO:   ²b «Y ÃÑ ¥Î ©O ­Ó.
%mor:   advf vf vt vt det cl.
*INV:   §A ¦¨ ¤é ¼Ã ¦í ¤S<­ø «Y ¥´ -:> [>].
%mor:   nnpr q nn vt asp advf neg vf vt.
*SIS:   <&a3 &le3 &ku1>, &a3 &le3 &ku1 [<].
%mor:   ex ex ex ex ex ex.
*SIS:   <&a3 &le3 &ku1, &a3 &le3 &ku1> [>].
%mor:   ex ex ex ex ex ex.
*CHI:   <&a3 &le3 &ku1, &a3 &le3 &ku1>, &a3 &le3 [<] +/.
%mor:   ex ex ex ex ex ex ex ex.
*SIS:   &a3 &lai3 <&ku1> [>].
%mor:   ex ex ex.
*CHI:   <&ku1> [<].
%mor:   ex.
*CHI:   &a3 &le3 &ku1.
%mor:   ex ex ex.
*SIS:   &a3 &lai3 <&ku1> [>].
%mor:   ex ex ex.
*CHI:   <&ku1> [<].
%mor:   ex.
*SIS:   <&a3 &lai3 &ku1> [>].
%mor:   ex ex ex.
*CHI:   <&a3 &lai3 &ki1> [<].
%mor:   ex ex ex.
*INV:   «§ <‘Á &ga3> [>] ?
%mor:   wh sfp sfp.
*SIS:   <&a3 &lai3> [<] <&ku1> [>].
%mor:   ex ex ex.
*CHI:   <&ku1> [<], &a3 &lai3 +...
%mor:   ex ex ex.
*CHI:   0 [=! giggles].
*CHI:   &a3, &lai3 &ku1.
%mor:   ex ex ex.
*INV:   «§ ‘Á &ga3 ?
%mor:   wh sfp sfp.
*CHI:   &a3 &lai3 <&ku1> [>].
%mor:   ex ex ex.
*INV:   <¤U§C> «Y «} ¦³ °¦ ¿ß §¤ ö «× Ú» ºò &a3 [<] ?
%mor:   nnloc vf neg vf cl nn vi prep cl vt asp sfp.
%exp:   [&a3 &le3 &ku1] is the sound made in the TV game.
*CHI:   «Y &ja3.
%mor:   vf sfp.
*SIS:   «Y &ja3, ¦n ±o·N &a3, ¦³ ¤H Ú» §Ú’] &a3.
%mor:   vf sfp advi adj sfp vf nn vt nnpr sfp.
*INV:   ¦ı«Y §A °I ÷ &le1.
%mor:   advs nnpr adj asp sfp.
*SIS:   «§ &a3, §Ú Ä¹ ÷ &a3.
%mor:   wh sfp nnpr vi asp sfp.
*INV:   úï - ?
%mor:   ex.
*SIS:   «Y &a3, «§ &a3 ?
%mor:   vf sfp wh sfp.
*CHI:   °µ ÉA §A ¤µ¤é ²Ï Ä| &a3 ?
%mor:   vt wh nnpr advs vt nn sfp.
*INV:   «Y &ja3, ¦n ¼ö &a1 &ma3.
%mor:   vf sfp advi adj sfp sfp.
*SIS:   «Y &ja3.
%mor:   vf sfp.
*SIS:   §Ú ³£ ¦³ ¨â ­Ó Ä| &a3, ¥i¥H ²Ï ¨â ­Ó &a3.
%mor:   nnpr advf vf q cl nn sfp aux vt q cl sfp.
*CHI:   §Ú ³£ «Y &e6 ²Ï ¨â ­Ó Ä| &a3 ©O «×.
%mor:   nnpr advf vf ex vt q cl nn sfp det cl.
*INV:   §A ¤S «Y &a4 ?
%mor:   nnpr advf vf sfp.
*CHI:   «Y &ja3.
%mor:   vf sfp.
*INV:   §A ¦n ¼ö &a4 ?
%mor:   nnpr advi adj sfp.
*CHI:   <¶ı«}> [/] ¶ı«} ¸Ü ­Ú §Ú ²Ï Ä| &ga3.
%mor:   nn nn vt prep nnpr vt nn sfp.
*INV:   Ëİ ¦n &a4 ?
%mor:   advi adj sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   &la4, ©j©j ¤@ ±ø &dzi3 &wo3, «Y «} &a3 ?
%mor:   ex nn q cl sfp sfp vf neg sfp.
*CHI:   «Y &ja3.
%mor:   vf sfp.
*SIS:   ­ø «Y &a3, <§Ú’]> [//] §Ú ¦³ ¨â ±ø §A ¦³ ¤@ ±ø.
%mor:   neg vf sfp nnpr nnpr vf q cl nnpr vf q cl.
*INV:   «Y &lo1, &li4&li2 ¦³ ÉN &a1 ?
%mor:   vf sfp nnpp vf neg sfp.
*CHI:   ¦³ &a3.
%mor:   vf sfp.
*INV:   ¦³ ´X ¦h ±ø &a3 ?
%mor:   vf wh adj cl sfp.
*CHI:   <§Ú> [/] §Ú ¶R ÷ ¤@ ±ø &ga3 &la3.
%mor:   nnpr nnpr vt asp q cl sfp sfp.
*INV:   ¶R ÷ ¤@ ±ø &a4 ?
%mor:   vt asp q cl sfp.
*CHI:   Ëİ ¦h ±ø &a3.
%mor:   advi adj cl sfp.
*INV:   ªğ ¾Ç ¥¼ &a3 &li4&li2 ?
%mor:   dir nn neg sfp nnpp.
*SIS:   ¥¼ &a3, ¤E ¤ë ¥ı ªğ ¾Ç.
%mor:   neg sfp q cl advf dir nn.
*CHI:   <§Ú> [>] +/.
%mor:   nnpr.
*SIS:   <§Ú>’] ¤T ­Ó ©O, «Y ¤E ¤ë ¥ı ªğ ¾Ç ï [<].
%mor:   nnpr q cl sfp vf q cl advf dir nn sfp.
*CHI:   §Ú, §Ú, §Ú ©O «Y ¦³ &bo1 ­Ú §A Ú» &ga3.
%mor:   nnpr nnpr nnpr sfp vf vf  xx prep nnpr vt sfp.
*CHI:   §Ú ©O, &e3 +...
%mor:   nnpr sfp ex.
*CHI:   ¹L ‘Á &a3.
%mor:   dir dir sfp.
%exp:   The child goes into the bathroom and the investigator follows.
*CHI:   §Ú ¦³ ø Ï ­Ú §A &ga3.
%mor:   nnpr vf cl nn prep nnpr sfp.
*INV:   ¦³ «§ Ú» &a3 ?
%mor:   vf wh vt sfp.
*INV:   Ú» úï.
%mor:   vt prt.
*CHI:   §Ú ¦³ ­±¤y &ga3.
%mor:   nnpr vf nn sfp.
*INV:   ¦³ «§ &wa2 ?
%mor:   vf wh sfp.
*CHI:   ÉN.
%mor:   neg.
*INV:   ­±¤y &a4 ?
%mor:   nn sfp.
