@Begin
@Name of CHI:          Yiu Chun-li
%mor:   cl nn sfp sfp.
*SIS:   ¦³ ¬õ ¦â ¦P®I ©O ºØ ¦â.
%mor:   vf adj nn conj det cl nn.
*INV:   «Y &ja4 ?
%mor:   vf sfp.
*SIS:   &m3.
%mor:   ex.
*CHI:   ©O «× «Y ¬õ.
%mor:   det cl vf adj.
*SIS:   ©ú©ú ©O «× ¦³ ±i ¯È¤y &a3.
%mor:   advs det cl vf cl nn sfp.
*CHI:   xxx ©O ­Ó.
%mor:   det cl.
*SIS:   §A ­Ú ¤H İ© ÷.
%mor:   nnpr prep nn vt asp.
*INV:   ­ø ºò­n &lu1, İ© ÷ «} İ© ÷ &lo1.
%mor:   neg adj sfp vt asp neg vt asp sfp.
%com:   pause.
*INV:   ¦³ ÉN ·s &wa4 +...
%mor:   vf neg adj sfp.
*INV:   ¼M, §A Ëİ ¦h ª±¨ã &ge2 ?
%mor:   ex nnpr advi adj nn sfp.
*INV:   ©O °¦ «Y °¨õa, «Y «} &a3 ?
%mor:   det cl vf nn vf neg sfp.
*SIS:   «Y &a3.
%mor:   vf sfp.
*CHI:   Monkey ‘Á &ga3.
%mor:   sfp sfp.
*INV:   Monkey &a4 ?
%mor:   sfp.
*INV:   §A ¿ü monkey ¤@ °Ü &a1, ±o ­ø ±o &a3 ?
%mor:   nnpr vt q cl sfp ctc neg ctc sfp.
*INV:   &li4&li2 ¿ü °¨õa ¤@ °Ü.
%mor:   nnpp vt nn q cl.
*SIS:   §Ú °÷ ¥ò ¦³ ¤@ °¦ &lok3.
%mor:   nnpr vi advf vf q cl sfp.
*INV:   «Y &a4 ?
%mor:   vf sfp.
*INV:   §A õ °¦ «§ ‘Á &ga3 ?
%mor:   nnpr det cl wh sfp sfp.
*INV:   ü« ¹L ‘Á Ú» úï.
%mor:   vt dir dir vt prt.
*CHI:   °¨õa.
%mor:   nn.
*INV:   ©O °¦, ©O °¦ ¨ß +...
%mor:   det cl det cl nn.
*INV:   ©O °¦ ª¯¥J &a3.
%mor:   det cl nn sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   ª¯¥J ¦P °¨õa «Y «} ¦n ªB¤Í ‘Á &ga3 ?
%mor:   nn conj nn vf neg adj nn sfp sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   «Y «} &a3 ?
%mor:   vf neg sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   ¤@«Y §A ¸Õ úï ª¯¥J ¿ü °¨õa ¤@ °Ü ±o ­ø ±o ?
%mor:   advs nnpr vt prt nn vt nn q cl ctc neg ctc.
%com:   The child kisses the dog then the monkey.
*INV:   &m3.
%mor:   ex.
*SIS:   §Ú ¥ò ¦³ ¤@ °¦.
%mor:   nnpr advf vf q cl.
%com:   The child's sister takes out another stuffed animal.
*CHI:   Åw¼Ö¤Ñ¦a ª± &ga3.
%mor:   nnpp vt sfp.
*SIS:   <Ëİ ¦h &a3> [>].
%mor:   advi adj sfp.
*CHI:   Åw¼Ö¤Ñ¦a <´« &ga3> [<].
%mor:   nnpp vt sfp.
*CHI:   Åw¼Ö¤Ñ¦a ´« &ga3.
%mor:   nnpp vt sfp.
*INV:   Ëİ ¥{, Ãä ­Ó ´« &ga3 ?
%mor:   advi adj wh cl vt sfp.
*INV:   §A’] ª± &a4 ?
%mor:   nnpr vt sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*SIS:   «Y &a3.
%mor:   vf sfp.
*INV:   ª± ø ÉAÏ &a3 ?
%mor:   vt cl wh sfp.
*INV:   Á¿ §Ú Å¥ &a1.
%mor:   vt nnpr vt sfp.
*SIS:   ¦pªG ©O, §A ©O, ¦³ ¦n ¦h ±i ­¸ ©O, ´N ¥i¥H ´« &ga3 &la3.
%mor:   advs sfp nnpr sfp vf advi adj cl nn sfp advf aux vt sfp sfp.
*SIS:   &a3, ©O ­Ó ©O.
%mor:   ex det cl sfp.
*SIS:   ´N «Y ¤K¤Q ±i ­¸ ï.
%mor:   advf vf q cl nn sfp.
*INV:   ¼M, ¤K¤Q ±i ­¸ - ?
%mor:   ex q cl nn.
*SIS:   «Y &a3.
%mor:   vf sfp.
*CHI:   §Ú, §Ú ©O ø ª± ªiªi &ga3.
%mor:   nnpr nnpr det cl vt nn sfp.
*INV:   ª± ªiªi &a4 ?
%mor:   vt nn sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*SIS:   ªi +...
%mor:   nn.
*SIS:   ª± ¸õ ªiªi ©O, ÉN ­¸ &ga3.
%mor:   vt vt nn sfp neg nn sfp.
*INV:   ÉN ­¸ &ga4 ?
%mor:   neg nn sfp.
*SIS:   ²b «Y # ­Ú ¤@ ­Ó ª÷¹ô ´N ±o &ga3 &la3.
%mor:   advf vf vd q cl nn advf ctc sfp sfp.
*CHI:   §Ú ¦Û¤v ª± +/.
%mor:   nnpr rfl vt.
*SIS:   ©O ­Ó ¤K¤Q ±i ­¸.
%mor:   det cl q cl nn.
*INV:   &m3, ¦n ±o·N Ø{ ©O °¦, Ú» úï Ê\ ö «× ¯º &a3, Ú» úï.
%mor:   ex advi adj sfp det cl vt prt nnpr vf cl vi sfp vt prt.
*CHI:   «Y &a1, ¤ú¾¦ &a3.
%mor:   vf sfp nn sfp.
*INV:   <¤ú¾¦ &lo1> [>].
%mor:   nn sfp.
*SIS:   <©O ¨â °¦ ©O> [<] §Ú ´N ­ø ª¾ ´X # ´X ¦h ±i ­¸ &laak3.
%mor:   det q cl sfp nnpr advf neg vt wh wh adj cl nn sfp.
*INV:   ©O °¦ ¤Ö ø &lo1 §Ú çÜ, ²Ó °¦ ø.
%mor:   det cl adj com sfp nnpr vt adj cl cl.
*SIS:   <«Y &a3> [>].
%mor:   vf sfp.
*CHI:   °µ <§¹ &la3> [<].
%mor:   vt advm sfp.
%com:   The TV program has finished.
*INV:   °µ §¹ &la3, º¶ ÷ Ê\ &lo3.
%mor:   vt advm sfp vt asp nnpr sfp.
*SIS:   &o4.
%mor:   ex.
%com:   The child's sister goes to switch off the TV.
*CHI:   ©O ø »âÊy ‘Á &ga3.
%mor:   det cl nn sfp sfp.
*INV:   »âÊy, «Y &a3.
%mor:   nn vf sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   §A ¦³ ÉN »âÊy ?
%mor:   nnpr vf neg nn.
*CHI:   ÉN.
%mor:   neg.
*INV:   §Ú ¦³ ÉN »âÊy ?
%mor:   nnpr vf neg nn.
*CHI:   ÉN.
%mor:   neg.
*INV:   Ãä ­Ó À¹ »âÊy &ga3 ?
%mor:   wh cl vt nn sfp.
*CHI:   ¨È²ï &ge3.
%mor:   nnpp sfp.
*INV:   ²ï²ï ¦³ »âÊy ï «§ ?
%mor:   nnpp vf nn sfp sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   ­ø «Y ª¨ª¨ ¥ı¦Ü ¥Î »âÊy ï «§ ?
%mor:   neg vf nn advf vt nn sfp sfp.
*INV:   ­ô­ô ¥Î »âÊy &ga1 &ma3.
%mor:   nn vt nn sfp sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*CHI:   ¤@¼Ë &wo3.
%mor:   adj sfp.
%exp:   The child puts the two stuffed toys together.
*INV:   ¤@¼Ë «§ ?
%mor:   adj sfp.
*INV:   ÂI¼Ë ¤@¼Ë &a3 ?
%mor:   wh adj sfp.
*INV:   ³£ ­ø ¦P, ¤@ °¦ «Y °¨õa, ¤@ °¦ «Y ª¯, ÂI ·| ¤@¼Ë ®A ?
%mor:   advf neg vt q cl vf nn q cl vf nn wh aux adj sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*SIS:   xxx &a3.
%mor:   sfp.
%com:   The child's sister gets interested in the investigator's recorder.
*INV:   ¦³ «§ ¦n Ú» &a3 ?
%mor:   vf wh adj vt sfp.
*INV:   ¦¸ ¦¸ ³£ Ú» &ge2 ?
%mor:   cl cl advf vt sfp.
*SIS:   °µ ÉA ºñ ¦â &ge2 ¦³ ?
%mor:   vt wh adj nn sfp vf.
%exp:   The child's sister points to a green light on the recorder.
*INV:   &m2 ?
%mor:   ex.
*SIS:   °µ ÉA ¦³ ºñ ¦â &ge2 ?
%mor:   vt wh vf adj nn sfp.
*INV:   ÉN, ÉN ÉA ÂI¸Ñ, ²´ ¿O ‘Á &ge3 ¤§ ¹À.
%mor:   neg neg wh wh cl nn sfp sfp sfp sfp.
*SIS:   &o5.
%mor:   ex.
*INV:   ¬õ ¦â «} §Y«Y µÛ ÷ &lo1.
%mor:   adj nn neg vf vi asp sfp.
*INV:   ©O ­Ó.
%mor:   det cl.
*CHI:   ¦n ²ª &a3.
%mor:   advi adj sfp.
*INV:   ¦n ²ª &a4 ?
%mor:   advi adj sfp.
*INV:   ¦³ °A &a4 ?
%mor:   vf nn sfp.
*CHI:   ­ø «Y &aak3.
%mor:   neg vf sfp.
*INV:   Ëİ ÂI¸Ñ ·| ²ª &a3 ?
%mor:   advs wh aux adj sfp.
*INV:   ¦³ «§ «r §A &a3 ?
%mor:   vf wh vt nnpr sfp.
*CHI:   °A «r &lo1.
%mor:   nn vt sfp.
*INV:   ³Ş, ­ø ¦n ·d ©O ­Ó &lo3, §Ú’] Â\ ®I Ê\.
%mor:   ex neg adj vt det cl sfp nnpr vd prt nnpr.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   <°A «r §A &a4> [>] ?
%mor:   nn vt nnpr sfp.
*CHI:   <¦n µh &a3> [<].
%mor:   advi adj sfp.
*SIS:   <xxx> [<].
*INV:   ¤S ¦n µh &a4 ?
%mor:   advf advi adj sfp.
*INV:   ÂI¸Ñ §A ¦¨ ¤é ³£ ¦n µh &ga3 °¦ ¸} ?
%mor:   wh nnpr q cl advf advi adj sfp cl nn.
*CHI:   ¦n µh &a3.
%mor:   advi adj sfp.
*INV:   ¦n µh &a4 ?
%mor:   advi adj sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
%com:   The child plays with the investigator's pocket watch.
*INV:   °µ ÉAÏ &a3 ?
%mor:   vt wh sfp.
%com:   The child presses a button on the watch.
*INV:   §A ¼Ã §Ú °¦ ¿ö &a4 ?
%mor:   nnpr vt nnpr cl nn sfp.
*CHI:   ©O ø &a3.
%mor:   det cl sfp.
*INV:   ©O ­Ó -: ­ø ¦n ¼Ã &a3.
%mor:   det cl neg adj vt sfp.
*INV:   «x, Ú» úï, ¦³ "Barbie" &a4 ?
%mor:   ex vt prt vf nnpp sfp.
*CHI:   «Y &a3, ª¨ª¨ ¶R &ga3.
%mor:   vf sfp nn vt sfp.
*INV:   &m4, Ãä ­Ó &ga3 Ëİ¼Ë ?
%mor:   ex wh cl sfp advs.
*INV:   ±o ¤@ ­Ó &ge2 ?
%mor:   vt q cl sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*CHI:   §Ú, §Ú ¤U ¦¸ # ¶R ¥ÕÀY¨Ğ &a3.
%mor:   nnpr nnpr det cl vt nnpp sfp.
*INV:   0 [=! giggles].
*SIS:   ©O ­Ó ¥ÕÀY¨Ğ.
%mor:   det cl nnpp.
*INV:   ¥ÕÀY¨Ğ, ©O ­Ó ¤k¥J ‘Á &ga3, ©O ­Ó ¥ÕÀY¨Ğ «§ ?
%mor:   nnpp det cl nn sfp sfp det cl nnpp sfp.
*CHI:   ­ø «Y &a3.
%mor:   neg vf sfp.
*INV:   ©O ­Ó ¥Õ ¾v ¤k¥J, °µ ÉA ¥s Ê\ ¥ÕÀY¨Ğ &a3 ?
%mor:   det cl adj nn nn vt wh vt nnpr nnpp sfp.
*CHI:   «x, &geng3 &a3.
%mor:   ex nn sfp.
*CHI:   ³Ş, &e3.
%mor:   ex ex.
*INV:   «x, ¦³ ¶ô Ãè &gu3 &wo3 ©O «×, <«Y «} &a3> [>] ?
%mor:   ex vf cl nn sfp sfp det cl vf neg sfp.
*CHI:   <«Y &a3> [<].
%mor:   vf sfp.
*INV:   ¦³ ±i Âi.
%mor:   vf cl nn.
*SIS:   ¤£¹L ÉN Ãè.
%mor:   advs neg nn.
*INV:   Ê\ ¦³ ¤ÆùÛ«~ &ga3, §A Ú» úï.
%mor:   nnpr vf nn sfp nnpr vt prt.
*INV:   ¦³ ®B»I, ¦³ ®Ş, «Y «} &a3 ?
%mor:   vf nn vf nn vf neg sfp.
*INV:   ¦³ ¦n ¦h Ï &wo3.
%mor:   vf advi adj nn sfp.
*CHI:   ³Ş, ©O ø «§ ‘Á &a3 ?
%mor:   ex det cl wh sfp sfp.
*INV:   ©O ­Ó «} ¤½¥J &lo1, «} §Y«Y Ê\ õ ­Ó &lo1.
%mor:   det cl neg nn sfp neg vf nnpr det cl sfp.
*INV:   xxx.
*INV:   «Y «} &a3 ?
%mor:   vf neg sfp.
*INV:   &la4, ¤@¼Ë &laak3.
%mor:   ex adj sfp.
*CHI:   ¤ã Ä| &ga3.
%mor:   vt nn sfp.
*INV:   Ëİ # §A Áé·N Ê\ ªø ÀY¾v.
%mor:   advs nnpr vt nnpr adj nn.
*INV:   §A Áé·N «} À° Ê\ ¤ã Ä| &lo1.
%mor:   nnpr vt neg vt nnpr vt nn sfp.
*CHI:   &e1, &e1.
%mor:   ex ex.
*INV:   °µ ÉAÏ &a3 ?
%mor:   vt wh sfp.
*INV:   ¦n Åå &a4 ?
%mor:   advi adj sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*SIS:   Ëİ ©O ­Ó ¤ã Ä| «} <xxx> [>].
%mor:   advs det cl vt nn neg.
*INV:   <¦n ®£©Æ «§> [<] ?
%mor:   adj adj sfp.
*CHI:   &m1:.
%mor:   ex.
*INV:   úï ?
%mor:   ex.
*INV:   ¦n ®£©Æ &a4 ?
%mor:   advi adj sfp.
*CHI:   0.
*INV:   ³Ş, ³Ş, ³Ş, ³Ş, ³Ş.
%mor:   ex ex ex ex ex.
*INV:   ­ø ¦n &dam2.
%mor:   neg adj vt.
*INV:   Ê\ ³£ ¤ã Ä| &a3, &la4, ²ï²ï ¤S ¤ã Ä|.
%mor:   nnpr advf vt nn sfp ex nnpp advf vt nn.
*CHI:   ¨â ­Ó ¤ã Ä|.
%mor:   q cl vt nn.
*INV:   «Y &lo1.
%mor:   vf sfp.
*CHI:   §Ú ³£ ¤ã Ä|!
%mor:   nnpr advf vt nn.
*INV:   §A µu ÀY¾v, §A ÉN ±o ¤ã Ä| &a3.
%mor:   nnpr adj nn nnpr neg ctc vt nn sfp.
*MOT:   ¨È"Kitty" ©j©j <xxx> [>].
%mor:   nnpp nn.
*CHI:   <©O ø> [<] §Ú ³£ <¤ã Ä|> [>]!
%mor:   det cl nnpr advf vt nn.
*INV:   <­ø¸Ó> [<].
%mor:   ex.
*MOT:   ¤ô.
%mor:   nn.
*CHI:   "ºû¦hC" ‘Á &ga3.
%mor:   nnpp sfp sfp.
*INV:   "ºû¦hC".
%mor:   nnpp.
*INV:   §A ¤S ª¾ &a4 ?
%mor:   nnpr advf vt sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   §A ¦³ ÉN ¶¼ &a3 ?
%mor:   nnpr vf neg vt sfp.
*CHI:   0.
*INV:   §A ¶¼ ­ø ¶¼ &a3 ?
%mor:   nnpr vt neg vt sfp.
*SIS:   ¦³ ´£¤l.
%mor:   vf nn.
*CHI:   ´£¤l &ga3.
%mor:   nn sfp.
*INV:   &m4, ¦n ÉN ¨ı &ga3 ?
%mor:   ex adj neg nn sfp.
*CHI:   ¦n¨ı &ga3.
%mor:   adj sfp.
*INV:   ¦n¨ı &ga4 ?
%mor:   adj sfp.
*INV:   ¥ò ¦³ «§ ¨ı¹D &ga3 Ëİ¼Ë ?
%mor:   advf vf wh nn sfp advs.
*CHI:   0.
*INV:   ¦³ ø ÉAÏ &a3 ?
%mor:   vf cl wh sfp.
*SIS:   µµ ¦â §Y«Y ´£¤l &lo1.
%mor:   adj nn vf nn sfp.
*INV:   ©O ø ²É ²É õ ø «§ ‘Á &ga3 ?
%mor:   det cl cl cl det cl wh sfp sfp.
%exp:   The investigator points to the gas bubbles in the glass.
*CHI:   ²É ªi &lo1.
%mor:   cl nn sfp.
*INV:   «Y &la1, ²É ªi &lo1.
%mor:   vf sfp cl nn sfp.
*CHI:   &m3.
%mor:   ex.
*INV:   ¦³ ¦n ¦h ²É ªi «Y «} &a3 ?
%mor:   vf advi adj cl nn vf neg sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   ¦³ ´X ¦h ²É &a3 ?
%mor:   vf wh adj cl sfp.
*INV:   §A ¼Æ úï.
%mor:   nnpr vt prt.
